0,1,2
2020-05-08 23:59:23+00:00,Have to learn to live with Covid-19: Govt | India News – Times of India https://jimmyspost.com/have-to-learn-to-live-with-covid-19-govt-india-news-times-of-india/,jimmys_post
2020-05-08 23:58:24+00:00,Sudhir choudhry is a more dangerous virus than #COVID__19 This type of news reporter are not good for India He should have been arrested #sudhirchaudhary_dalal_hai #IndiaIsNotWithZeeNews,ClarkeKhushdil
2020-05-08 23:57:48+00:00,Nice interview with Agendra Kumar Esri India on use of #GIS in fighting #Covid-19 and a nice simple explanation of GIS by Cyrus John ,L__Peters
2020-05-08 23:56:02+00:00,"COVID-19 Cases In India Nears 60,000-Mark, Centre Says ""Learn To Live ",ndtvfeed
2020-05-08 23:55:12+00:00,Have to learn to live with Covid-19: Govt - ,gone_india
2020-05-08 23:55:11+00:00,"Gujarat: Madrasa, hostel turn Covid care centres | India News,The Indian Express ",mdtauheed22
2020-05-08 23:54:41+00:00,"when COVID-19 was declared a pandemic, the countries with the highest numbers of forecast births are expected to be India (20.1 million), China (13.5 million), Nigeria (6.4 million), Pakistan (5 million) and Indonesia (4 million). https://dunyanews.tv/en/Pakistan/544529-UNICEF-expects-5-million-births-in-nine-months-in-Pakistan/ #COVIDー19 #coronavirus",NumanAlamm
2020-05-08 23:54:29+00:00,It's our turn to save & rescue India from the killer nature of Covid 19 ,DBarmun
2020-05-08 23:53:59+00:00,"India, AIIB sign USD 500 million “COVID-19 Emergency Response and Health Systems Preparedness Project” https://www.akindia8007.com/2020/05/india-aiib-sign-usd-500-million-covid.html",aimamedia007
2020-05-08 23:53:45+00:00,"Sir, we have to develop strategy to normalise with Covid-19. This situation will stay long. Short term strategy won’t work now. We will have to develop health ecosystem to create a protective cover. Life style moderation will need to be developed and implemented.",crish4wellness1
2020-05-08 23:53:15+00:00,"Now: 1. Editor for Masala, ITP Media Group Lekha Menon wishes HM Amit Shah dies of COVID-19 or cancer. 2. Bureau Chief of The India Observer Vijaya Nadar wishes cancer &amp; death of HM Amit Shah. 3. Few days ago, TOI journo Latief wished PM Modi gets COVID-19. Freedom of Speech!",go4rishabh
2020-05-08 23:51:56+00:00,@PMOIndia @narendramodi @drharshvardhan - India is very thankful for fight against covid compared to rest of the world in terms of lockdown and building our medical system in parallel. Support and positivity helping everyone #IndiaFightsCoronavirus,dbatra1985
2020-05-08 23:51:26+00:00,"Zee news has been constantly targeting Tablighi Jamaat since the #Covid_19 outbreak in India,running fake news to blame Muslims for the spread of CoronaVirus. In the guise of journalism they have been promoting hatred and communalism. #IndiaIsNotWithZeeNews #IndiaIsNotWithZeeNews",RJ78686396
2020-05-08 23:51:24+00:00,Have to learn to live with Covid-19: Govt | India News Representative image NEW DELHI: The heal... ,news_mynews
