0,1,2
2020-05-07 23:59:49+00:00,"Covid-19: India cases 3k-plus 2 days in a row, Delhi at new high ",therexoxer
2020-05-07 23:58:58+00:00,By the way where is Amit Shah? He is disappear since #Covid_19 start in #India,peace1391
2020-05-07 23:58:54+00:00,India coronavirus: Why celebrating Covid-19 'success models' is dangerous - https://greeen.info/?p=3366367,greeenorg
2020-05-07 23:58:28+00:00,"A day after Gujarat Congress chief, Amit Chavda, alleged that #Covid_19 cases spiked in the state because of the Namaste Trump event held in Ahmedabad, the party alleged that the country was paying the price for the February 24 event.",ians_india
2020-05-07 23:58:04+00:00,"@PMOIndia Please roll back the decision of opening wineshops. Our country could minimize number of covid cases. This credit goes to our Modiji for bold decisions. Let all the good work done in India, continue. In AP,situation may worsen, if wine shops are not closed. We beg.",ypk1976
2020-05-07 23:57:34+00:00,Covid-19: Doubling time worsens to 10.2 days in 1 week | India News ,republicpostin
2020-05-07 23:57:07+00:00,@kirstiealley India exports 50 million hydroxychloroquine tablets to U.S. for COVID-19 fight: source ,pearlskylar1
2020-05-07 23:56:52+00:00,YesI Full agree @MoHFW_INDIA @drharshvardhan : Make COVID-19 Testing Free for Senior Citizens &amp; Subsidised for All #PatientsBeforeProfits - Sign the Petition! http://chng.it/rfY6qnh8 via @ChangeOrg_India,MadhukarSubash
2020-05-07 23:56:33+00:00,India coronavirus: Why celebrating Covid-19 'success models' is dangerous http://dlvr.it/RWD7wq,PYsign
2020-05-07 23:56:26+00:00,China spread #covid 19 corona virus in the whole world. We hate china becoz you are bastard. Go back from india. #boycott_china,Bhagat16503667
2020-05-07 23:55:20+00:00,"Covid-19: India cases 3k-plus 2 days in a row, Delhi at new high - https://indiagoneviral.com/news/2020/05/08/covid-19-india-cases-3k-plus-2-days-in-a-row-delhi-at-new-high/53716/india-gone-viral/",gone_india
2020-05-07 23:55:17+00:00,"At 20.1 million, India expected to have highest births since Covid-19 declared as pandemic: Unicef http://toi.in/Se9x5b/a24gj via @timesofindia",soniasarkars
2020-05-07 23:55:13+00:00,Delhi: Biggest spike in Covid-19 cases; toll 66 | Delhi News – Times of India https://www.newstoday24x7.in/delhi-biggest-spike-in-covid-19-cases-toll-66-delhi-news-times-of-india/,todaynews_24x7
2020-05-07 23:54:58+00:00,"Coronavirus in India: Covid-19 tally surges past 2,300, Andhra sees 21 fresh cases https://rouut.com/2020/04/02/coronavirus-in-india-covid-19-tally-surges-past-2300-andhra-sees-21-fresh-cases/?feed_id=198824&amp;_unique_id=5eb49fd1cc0b8",rouutnews
2020-05-07 23:54:57+00:00,"Coronavirus in India: Covid-19 tally surges past 2,300, Andhra sees 21 fresh cases https://rouut.com/2020/04/02/coronavirus-in-india-covid-19-tally-surges-past-2300-andhra-sees-21-fresh-cases/?feed_id=198824&amp;_unique_id=5eb49fd13f3cc",rouutnews
2020-05-07 23:54:15+00:00,India coronavirus: Why celebrating Covid-19 'success models' is dangerous http://twib.in/l/L6a7K9EzEgyd,globalissuesweb
2020-05-07 23:54:06+00:00,India coronavirus: Why celebrating Covid-19 'success models' is dangerous http://dlvr.it/RWD7hy,Worldnews_Media
2020-05-07 23:54:04+00:00,India coronavirus: Why celebrating Covid-19 'success models' is dangerous http://www.ichauhan.com/RWD7hh #ichauhan #bbcnews #time,itsrealrohit
2020-05-07 23:53:54+00:00,Lebih dari 450 orang polisi India sekarang telah dinyatakan positif Covid-19. ,republikaonline
2020-05-07 23:53:40+00:00,I cant imagine reported India deaths due to COVID is all that accurate...,jer_longo
2020-05-07 23:53:30+00:00,"https://www.facebook.com/100004080996346/posts/2135738406572172/?sfnsn=wiwspwa&amp;d=w&amp;vh=i&amp;extid=ScuT1gpGAABi7PLC&amp;d=w&amp;vh=i Police brutally beating and torturing civilians at Iqbal Maidan Bhopal, India , during covid 19 lockdown but permitted sale of liquor on roads where millions of drunkards are in Que, is this social distancing ?@KKMishraINC",InPida
2020-05-07 23:53:13+00:00,"Covid-19 impact: India looks to lure more than 1,000 US firms out of China https://gofirstnews.com/covid-19-impact-india-looks-to-lure-more-than-1000-us-firms-out-of-china/",kuldeepsingh250
2020-05-07 23:53:02+00:00,"COVID-19 Cases In India Cross 50,000-Mark, With Over 5,000 New Cases ",ndtvfeed
2020-05-07 23:52:36+00:00,Coronavirus en India hoy 7 mayo: 53.130 casos de Covid-19 ,enid_romanat
2020-05-07 23:51:12+00:00,"80,000 COVID-19 cases reported daily in April, spike in India, Bangladesh: WHO ",invest_media007
2020-05-07 23:50:46+00:00,India will see peak of Covid-19 cases in June-July: AIIMS director - https://www.therahnuma.com/india-will-see-peak-of-covid-19-cases-in-june-july-aiims-director/,DailyRahnuma
2020-05-07 23:50:15+00:00,"Hockey India will hold its Special Congress online on May 13 during which the status of Olympic preparations of both the national men’s and women’s teams, besides resumption of the sport after the COVID-19 pandemic will be up for discussion. ",LiveIndiaTimes1
2020-05-07 23:49:56+00:00,"""Before COVID hit, India was in a genocidal state. They passed the Citizenship Amendment Act, that would create the largest statelessness crisis in world history. The pogrom happened when @realDonaldTrump was in India."" @dalitdiva on @rising_majority #TheRisingMajority",EqualityLabs
2020-05-07 23:49:33+00:00,India coronavirus: Why celebrating Covid-19 'success models' is dangerous http://dlvr.it/RWD7S4,Covensure
2020-05-07 23:49:32+00:00,India coronavirus: Why celebrating Covid-19 'success models' is dangerous http://dlvr.it/RWD7Ph,web4ugroup
2020-05-07 23:49:32+00:00,"COVID-19: Trust in social media is very low in India, finds survey http://dlvr.it/RWD7RQ",skarritt
2020-05-07 23:49:30+00:00,Hope the curve get flattened soon. #Covid_19 #Covid_19india Covid-19 cases to peak in India in June-July: AIIMS Director Randeep Guleria - India News ,taufeequmar613
2020-05-07 23:49:29+00:00,If muslims kicked out from india then how do you survive which way you'll run controversy propaganda shame on you muslims are targetted for hiding government mistake if govt will take serious actions since January about covid may be india will not more effective country,TrustedEnemy_
2020-05-07 23:48:01+00:00,: are busy in looting BANKS . Gujarati are taking loans with the help of Modi and fleeing India . RBI is not informing reality of financial status of India . Modi is making COVID-19 as an excuse to kill SC/ST /BC /Muslims and other minority .Only destruction is clearly visible .,bigboon11
2020-05-07 23:47:53+00:00,"@airindiain @USAndIndia @USAndMumbai @USAndChennai @USAndKolkata Please clarify. @TimesNow @NikunjGargN Air India has provided wrong travel advisory on Covid-19, for Indian Nationals are willing to travel to the USA. ",Annu74013884
2020-05-07 23:47:51+00:00,"Trending in India: 1,Covid: tweets - 3070340 2,Army: tweets - 682000 3,#KehGayiSorry: tweets - 592697 4,X Æ A-12: tweets - 425654 5,#VizagGasLeak: tweets - 312042 6,#isupportSudhirchaudhary: tweets - 276480",HourlyTrends_IN
2020-05-07 23:47:32+00:00,India orders mandatory use of COVID-19 contact tracing app for all workers | ZDNet ,SouloLee
2020-05-07 23:47:11+00:00,"Sir, Amidst the #Covid_19 pandemic the government of india is detaining many student activists who protest peacefully against CAA(Citizenship Amendment Act), which was an discriminatory law which denies citizenship based on religion.",MinhajHassanP
2020-05-07 23:45:58+00:00,India Post And ICMR Collaborate For Covid 19 Test Kits Delivered To Across India Latest Breaking News | Celebrity News and Gossip | The India News Today - ,tindianewstoday
2020-05-07 23:45:31+00:00,"India’s Covid 19 lockdown may cause 38 million job losses in the travel and tourism industry | 4 करोड़ रोजगार देने वाली टूरिज़्म इंडस्ट्री ठप होने के कगार पर, अब तक 5 लाख करोड़ का नुकसान… ",PunjabMediaNews
2020-05-07 23:45:27+00:00,Banyan - India’s government is better at curbing critics than covid-19 | Asia | The Economist ,sfastlicht
2020-05-07 23:44:02+00:00,"5,200 rail coaches ready as Covid care centres | India News ",Newslin07952424
2020-05-07 23:43:36+00:00,We understand that India is doing all possible things to win against COVId 19 but please allow minors holding OCI to travel back with parents to India @narendramodi @IndianEmbassyUS @PMOIndia @AmitShah,GehlotManoj
2020-05-07 23:43:31+00:00,"95% of testing kits bought by India from China discovered to be FAULTY. - the PPEs were found to be contaminated. - Tanzania: samples from engine oil, pawpaw, soil etc all of which tested, positive! Should the world trust China or anything from her? #Covid_19",hannan_farooq
2020-05-07 23:43:07+00:00,3 Flamengo players test positive for COVID-19 : The Tribune India - https://www.insiderspirit.com/3-flamengo-players-test-positive-for-covid-19-the-tribune-india/,InsiderSpirit
