0,1,2
2020-04-05 23:59:28+00:00,Raghuram Rajan urges govt to invite experts to deal with economic impact of Covid-19 – Times of India ,Trippple12
2020-04-05 23:59:17+00:00,#Repost @pavankumar_912 • • • • • • Hyderabad 9 Minutes | 9pm | 5th April | India End Darkness of Coronavirus #9minutesforindia #covid #india #fightcovid19 #hyderabad #9baje9minute #hyderabadphotography… https://www.instagram.com/p/B-nlVD1JXrt/?igshid=1eyrctsg401jx,RaviTej78336402
2020-04-05 23:58:48+00:00,COVID-19 doubling rate in India at 4.1 days: Govt https://news24net.com/2020/04/05/covid-19-doubling-rate-in-india-at-4-1-days-govt/,getlifehealthy1
2020-04-05 23:57:35+00:00,Ahora viene otro bonito informe. Muertos y contagiados de Covid 19. Somos junto con la India los más chingones!!!,CoquitoCohen
2020-04-05 23:56:54+00:00,How you know your parents didn’t want you Twins born during India lockdown named 'Corona and Covid' ,MischievousLiz
2020-04-05 23:55:40+00:00,.@Amita_Pitre from Oxfam India on domestic violence during #lockdownindia . #Covid_19 @WHO @Oxfam @unwomenindia @UN @UN_Women @unwomenasia @FeminismInIndia,OxfamIndia
2020-04-05 23:53:36+00:00,Oh I'm sorry maybe you know more than the FDA and all these other countries that are now prescribing it as a defense against COVID-19: South Korea UK France Italy (since March 28th) Bahrain India Sri Lanka Taiwan Belgium Poland Malaysia China Ghana Georgia Philippines,rubbyblueblue
2020-04-05 23:53:08+00:00,Oh I'm sorry maybe you know more than the FDA and all these other countries that are now prescribing it as a defense against COVID-19: South Korea UK France Italy (since March 28th) Bahrain India Sri Lanka Taiwan Belgium Poland Malaysia China Ghana Georgia Philippines,rubbyblueblue
2020-04-05 23:52:57+00:00,Oh I'm sorry maybe you know more than the FDA and all these other countries that are now prescribing it as a defense against COVID-19: South Korea UK France Italy (since March 28th) Bahrain India Sri Lanka Taiwan Belgium Poland Malaysia China Ghana Georgia Philippines,rubbyblueblue
2020-04-05 23:52:42+00:00,India enciende velas durante nueve minutos contra la oscuridad de COVID-19 [FOTOS] ,RPPNoticias
2020-04-05 23:50:42+00:00,India Drags China To International Court For COVID-19 War | Zero Hedge ⁦@IvanDuque⁩ ⁦@DirDefensaJurid⁩ ⁦@MinHacienda⁩ Para cuando la medida llevó días pidiendo pista para que lo hagamos . Señor Camilo requiero de una oportunidad .,JoseJLOcampo1
2020-04-05 23:50:32+00:00,"Fighting Stigma : India's COVID-19 patients rise to 3577, total deaths 83; Maharashtra tally jumps to 747: According to the Union Ministry of Health and Family Welfare , the total number of COVID-19 positive cases in the country has gone up to 3,577 as… http://dlvr.it/RTDjpT",PairsonnalitesU
2020-04-05 23:50:14+00:00,#India . New cases- 700 New deaths- 18 Total cases- 4288 Total deaths-117 . #Covid_19,Anikk_AD
2020-04-05 23:50:01+00:00,"Respected PM @narendramodi ji.. People of India always stand by You... Have shown terrific support for #IndiaLockdown #IndiaFightsCorona .Now it's your turn to make all possible efforts to keep first responder, healthcare and our people healthy, happy and away from #Covid_19",Anil_Yadav_1802
2020-04-05 23:48:57+00:00,India’s Covid-19 toll hits 100; Delhi tally 503 https://www.amikolkata.in/indias-covid-19-toll-hits-100-delhi-tally-503/,MiKolkata
2020-04-05 23:47:58+00:00,India enciende velas durante nueve minutos contra la oscuridad de COVID-19 [FOTOS] https://emanoticias.com/india-enciende-velas-durante-nueve-minutos-contra-la-oscuridad-de-covid-19-fotos/,EmaNoticias
2020-04-05 23:47:56+00:00,India lleva a China a la corte internacional por ataque biológico COVID-19,JooRibeiro6
2020-04-05 23:46:09+00:00,"""Después de la India, México es el país con menos infectados por covid."" El reino del pensamiento mágico. La semana entrante empieza la curación por imposición de manos.",Stacy_Nguyen_
2020-04-05 23:45:34+00:00,Are you F’ING serious? #covid #corona #covid19 #india https://www.instagram.com/p/B-njwf6BaWk/?igshid=1htlcg75r57gk,inbedwithRED
2020-04-05 23:45:07+00:00,India is enforcing the harshest and most extensive Covid-19 lockdown in the world https://qz.com/india/1828915/ via @qzindia,yevad_
2020-04-05 23:44:58+00:00,"Bla, bla, bla, bla, bla, mientras tanto el primer ministro es hospitalizado por covid-19. Lamentable como han manejado la situación. Deberían de aprender de la India y México ",Gabodrilomx
2020-04-05 23:43:59+00:00,Contribute in PM CARES Fund for India's War against COVID-19! - https://is.gd/AvCgOX #Chennaivision,chennaivision
2020-04-05 23:42:26+00:00,India Drags China To International Court For COVID-19 War | Zero Hedge ,southerncagna
2020-04-05 23:42:10+00:00,Dapan haz Carona#Covid-19 Cho Chalmuth india manz Raathi.... Thoi maa buziv khen.... @sofiumar122 @Masratzahra @ParvaizSir @carin__fischer @nazir_masoodi @SaraHayatShah,ashrafmir
2020-04-05 23:41:59+00:00,"Después de la India, México es el segundo país con menos infectados de COVID-19 y es el tercer país en el mundo con menos defunciones por número de habitantes. Esto, porque desde un inicio se dejó la conducción de la estrategia sanitaria a médicos especialistas y científicos. ",GeraldinePonceM
2020-04-05 23:41:41+00:00,"our index case of CoviD-19 disease of a Milliary Officer who returned from India according to report. This was a sadden commentary for us but we know that Coronavirus is not a death sentence and given the adequate support, our team of medical experts will tackle it.",deepeesolutions
2020-04-05 23:41:04+00:00,"India put a total ban on exports of hydroxychloroquine, a malaria drug that President Trump has touted as a “game changer” in the fight against Covid-19 ",Fxhedgers
2020-04-05 23:40:52+00:00,7 New cases in French Guiana. Total cases in French Guiana: 68 18 New deaths in India. Total deaths in India: 117 #Covid_19 #COVID2019,Covid19Rtn
2020-04-05 23:40:51+00:00,700 New cases in India. Total cases in India: 4288 9 New cases in Guatemala. Total cases in Guatemala: 70 #Covid_19 #COVID2019,Covid19Rtn
2020-04-05 23:40:20+00:00,India is enforcing the harshest and most extensive Covid-19 lockdown in the world https://qz.com/india/1828915/indias-coronavirus-lockdown-harsher-than-china-italy-pakistan/,matt_perez
2020-04-05 23:40:01+00:00,India had its first COVID19 patient on 31 Jan. We need to ask what did the govt did from Jan to mid March to tackle the threat? Did we procure more protective gear for docs? Did we procure testing kits? The govt can't get away without answering these questions. #Covid_19,YacoobMohammed
2020-04-05 23:40:00+00:00,"“Coronapoli”, la estrategia de la policía de India para generar conciencia sobre el COVID-19 https://elaragueno.com.ve/2020/04/03/coronapoli-la-estrategia-de-la-policia-de-india-para-generar-conciencia-sobre-el-covid-19ticker/ #Curiosidades",ElAragueno
2020-04-05 23:39:12+00:00,"Modiji demanded only 9 minutes of time from people of India on a Sunday night and liberals are up in arms? As things get worse with Covid 19 , as PM he may ask people for more sacrifices, wud you support PM or become a true fifth column? Shame ",shippie77
2020-04-05 23:39:01+00:00,"Corona y Covid, los nombres elegidos por una pareja india para sus bebés ",TitularesPy
2020-04-05 23:38:35+00:00,"In the name of our Healer Jesus, we lighted up Candles, Torch & prayed to have mercy upon us. In honour of Unity India with Modiji, Frontline CV19 warriors, doctors, researchers &amp; untimely poor souls of the COVID19 victims. Amen @BJP4India #9pm9minute #Covid_19 @BJP4Nagaland",ModiSarkarVikas
2020-04-05 23:38:34+00:00,And I don't blame India one bit for keeping them. They have a massive population and many are already taking this daily for malaria. So they need it even if there was no covid. Our politicians sold us out for decades. Now we feel the pain.,GLPCopernica
2020-04-05 23:38:32+00:00,rumours of Hundreds of Nepalese stuck at India border amid COVID-19 lockdown,trstdtravlr
2020-04-05 23:38:04+00:00,Coronavirus: India's race to build a low-cost ventilator to save Covid-19 patients ,jorgebatista
2020-04-05 23:37:06+00:00,கொரோனா வைரஸ் தாக்கம்! ரசிகர்களை நெகிழ்ச்சியில் ஆழ்த்திய சாருக்கானின் செயல் https://www.ibctamil.com/india/80/140627 #CoronaVirus #Covid19 #India #ShahrukhKhan #Corona #Covid #StayAtHomeSaveLives #StaySafe #StayHome @iamsrk,ibctamilmedia
2020-04-05 23:36:43+00:00,"¡DE ÚLTIMO MOMENTO! Andrés Manuel López Obrador: ""México es, después de la India, el país con menos infectados por COVID-19 y el tercer país con menos defunciones por número de habitantes. Vamos bien, pero no nos confiemos"" ",CerebrosG
2020-04-05 23:36:41+00:00,"COVID-10: deaths to confirmed stats (April5, 2020) World= 5.45% deaths 69309/1270069 USA = 2.85% deaths 9562/335524 India = 0.23% deaths 83/3577 India so far doing great; USA struggling; World numbers unacceptable. World over, Let us bring this to Zero. Every life counts ",indiamusings
2020-04-05 23:36:35+00:00,COVID-19: MG Motor starts competition for low cost ventilator design – MG Motor India in talks with medical device cos to manufacture ventilators | auto – News in Hindi https://rokzfast.com/2020/04/05/covid-19-mg-motor-starts-competition-for-low-cost-ventilator-design-mg-motor-india-in-talks-with-medical-device-cos-to-manufacture-ventilators-auto-news-in-hindi-36831/,7TheHealth
2020-04-05 23:35:32+00:00,#9baje9minute: From Taapsee Pannu to Vicky Kaushal: Bollywood celebrities come out in numbers to display India’s collective resolve to combat COVID-19 by lighting Diyas – Times of India ► https://www.nsservices.in/9baje9minute-from-taapsee-pannu-to-vicky-kaushal-bollywood-celebrities-come-out-in-numbers-to-display-indias-collective-resolve-to-combat-covid-19-by-lighting-diyas-times-of-india/,services_ns
2020-04-05 23:35:20+00:00,Are you watching tonight? @ACMawards Streaming @http://www.HearOurCity.com #countrymusic #countrysinger #hearourcity #band #HealthcareHeroes #india #africa #spain #germany #australia #mexico #london #Japan #france #Covid_19,HearOurCityMag
2020-04-05 23:35:00+00:00,"16,000 trained workers to screen Chennai residents door-to-door for COVID-19... #Chennai #TamilNadu #India #COVID #COVID19 #COVID2019 #Covid_19 #CoronavirusOutbreak #Coronavirus #CoronavirusPandemic #COVIDー19",TPE_connect
2020-04-05 23:34:17+00:00,Trump asked Indian PM for shipment of malaria medicine for Covid treatment which experts never recommend. The irony is one doctor from India who was a Covid positive passed away in last week after consuming medicine meant for treatment of malaria. Dumb Trump will kill us all.,joel_haokip
2020-04-05 23:34:14+00:00,"¿Sabes que es un comparativo? Nunca se comparó a Mexico con la India solo mencionó que ellos tienen el menor contagio por COVID seguido por México, eso no es una comparación.",Algodondesugar
2020-04-05 23:33:44+00:00,Corona y Covid: los nombres para los gemelos que eligió una pareja en la india https://wp.me/pbonAD-2WPT,ExtraVzla
2020-04-05 23:33:21+00:00,"México es, después de la India, el país con menos infectados por COVID-19 y el tercer país con menos defunciones por número de habitantes. Vamos bien, pero no nos confiemos. #AMLOcumple #AMLOEstamosContigo",angelivanvp
2020-04-05 23:32:35+00:00,Queen Elizabeth II Says Collective Effort Will Defeat COVID-19 #india #coronavirusoutbreak #queenelizabethii https://a2znews.org/queen-elizabeth-ii-says-collective-effort-will-defeat-covid-19/?feed_id=14354&amp;_unique_id=5e8a6a9327d34,A2znews_org
2020-04-05 23:32:32+00:00,"Corona y Covid, los nombres elegidos por una pareja india para sus bebés ",SpyNoticia
2020-04-05 23:32:24+00:00,"Boundary Seal: People swimming across the river and hiding Coronavirus in India, MP Coronavirus Cases, Virus Cases in MP, COVID-19 Cases, Corona Virus Cases in Bhopal, Coronavirus Update in Madhya Pradesh, coronavirus MP,… http://thepoolbattle.com/boundary-seal-people-swimming-across-the-river-and-hiding-coronavirus-in-india-mp-coronavirus-cases-virus-cases-in-mp-covid-19-cases-corona-virus-cases-in-bhopal-coronavirus-update-in-madhya-pra/",TheBattlePool
2020-04-05 23:31:50+00:00,"Countries like #Mexico, #China, #Honduras &amp; #India experiment with #drones desinfecting public places #dronesforgood #COVID2019 #coronavirus #Covid_19 #COVID19mexico #COVIDー19",glocalreporting
2020-04-05 23:30:33+00:00,"I am sure after the Lockdown ends on April 14, the number of cases of COVID-19 in India will definately go up because people are so impatient that they cannot stay at their houses anymore. #Extendlockdown #Educateindians @narendramodi @PMOIndia @rashtrapatibhvn",Aisha83552727
2020-04-05 23:30:22+00:00,My mum did this today and it really annoyed me to the max. Heeding this call from a man who butchers his own citizens seemed so wrong to me.Whilst it's a noble sentiment it does little to actually deal with real covid 19 issues in India.Can't we see beyond the gesture!,sawnee0507
2020-04-05 23:28:19+00:00,Dr. Sir kya lungs CT scan ko use kar sakte hai aged patient mae covid19 detection k liye..recent publication on covid 19 has some references regarding CT scan and then confirmation by RT PCR.,Prashant0768
2020-04-05 23:28:00+00:00," India: (Part 3) Notes: Heavily Locked-down, Unreliable Data, Poverty : 10 403 : 77 529,350,692 7,410,910 x2: 4.2 See https://corona-scanner.com/country/india 06/04 #CovidIndia ",neilellis
2020-04-05 23:28:00+00:00," India: (Part 2) : 3,082 (actual 28,816?) Δ: 515 = 20% : 86 Δ: 14 / : 2.79% 06/04 #CovidIndia ",neilellis
2020-04-05 23:28:00+00:00," India: Fast spreading and worsening a little, contagion. Estimated 0.00% of pop. infected. Danger of uncontrolled growth. Proj. death toll 7,410,910 after 77 days. 06/04 #Covid",neilellis
