0,1,2
2020-04-10 23:59:40+00:00,"COVID 19 es un VIRUS TRANSGÉNICO para hacer daño a economías occidendales USA, EUROPA, LATINOAMÉRICA y ALIADOS ASIÁTICOS como JAPÓN, COREA DEL SUR E INDIA ",raumunz
2020-04-10 23:58:44+00:00,"How will he or they know when Prior to Covid-19 they were all healthcare tourist to India, UK and USA.",Drfia
2020-04-10 23:57:47+00:00,"Post-Covid-19 India will be physically drained, economically weaker, financially frailer. Social distancing and isolation would have protected millions of lives but equally would have financially exhausted several million poor households @PMOIndia @FinMinIndia @ICMRDELHI",rajneeshwadhwa
2020-04-10 23:57:36+00:00,WHO Sebut Indonesia dan India Berpotensi Jadi Episenter Baru Covid-19 di Asia https://wow.tribunnews.com/2020/04/11/who-sebut-indonesia-dan-india-berpotensi-jadi-episenter-baru-covid-19-di-asia lewat @tribunnews,tribunnews
2020-04-10 23:57:01+00:00,"#scmp gloats over #covid case jump amongst workers from #india + #bangladesh in #Singapore, missing that it manages workers better than their own govts. thereby improving worker's life chances, &amp; mitigating the risk they pose globally.",dattaray
2020-04-10 23:56:36+00:00,India’s FIH Pro League tie against New Zealand cancelled due to COVID-19 https://jimmyspost.com/indias-fih-pro-league-tie-against-new-zealand-cancelled-due-to-covid-19/,jimmys_post
2020-04-10 23:56:30+00:00,"La natura l'ha inventata e, a guardare bene la natura, ce lo si poteva aspettare, senza essere esageratamente veggenti. In India, se gli animali verranno lasciati morire di fame e malattia nelle strade, altro che Covid-19! @WHO @Pontifex_ln @ilariacapua @GretaThunberg @INCIndia",CTAMELLINI
2020-04-10 23:55:58+00:00,You Have wrong information... It is people like you who have bring India on the door step of civil war.. People like you have radicalise Hindu society.. Covid 19 has enter india due to poor screening at airports Who gave Tabligi this virus. Clear you mind from hatred,kashmirvalley
2020-04-10 23:55:36+00:00,"Pakar Peringatkan, Indonesia dan India Berpotensi Jadi Episenter Baru Covid-19 - http://Kompas.com https://www.kompas.com/sains/read/2020/04/10/180200123/pakar-peringatkan-indonesia-dan-india-berpotensi-jadi-episenter-baru-covid",Syahrul21gmail1
2020-04-10 23:55:29+00:00,Los 10 países con más fallecidos por #COVID__19 en Asia. Total: 9.203 1:Irán -4.232 2:China -3.336 3:Indonesia -306 4:India -249 5:Filipinas -221 6:Corea del Sur -208 7:Japón -119 8:Pakistán -98 9:Israel -95 10:Irak -70 10:Malasia -70 #COVID19 #COVIDー19,Datos_Corona
2020-04-10 23:55:14+00:00,"Pakar Peringatkan, Indonesia dan India Berpotensi Jadi Episenter Baru Covid-19 - http://Kompas.com https://www.kompas.com/sains/read/2020/04/10/180200123/pakar-peringatkan-indonesia-dan-india-berpotensi-jadi-episenter-baru-covid",fitriaslusman
2020-04-10 23:55:11+00:00,"FOTOS: El Himalaya reaparece en la India tras varias décadas, en medio de la cuarentena por el covid-19 - RT ",fosforo777
2020-04-10 23:53:53+00:00,I applied for advance under COVID 19 on 30th March 2020. And you are so worthless that the claim is still pending. Don't beat the drams of lie. ,uneditedsubha
2020-04-10 23:52:14+00:00," India Every Life Counts, Pls #StayAtHome Notes: Heavily Locked-down, Unreliable Data, Poverty Thank You Nurses, Doctors &amp; All Key Workers 11/04 #CovidIndia 4/4 ",neilellis
2020-04-10 23:52:13+00:00," India : 10 1,215 : 142 1,277,797 17,889 x2: 5.4 Every Life Counts, Pls #StayAtHome : https://corona-scanner.com/country/india 11/04 #CovidIndia 3/4",neilellis
2020-04-10 23:52:13+00:00," India: Fast spreading but improving slightly, contagion. Est. 0.01% of pop. infected. Proj. death toll 17,889 after 142 days. 11/04 #Covid 1/4",neilellis
2020-04-10 23:51:56+00:00,"I was supposed to travel from UK to India on 27 Mar and my wife Dr Misha Varma from USA on 1 Apr to attend our marriage registn at DC, GGN office on 3 Apr. All the international flights to India is suspended and my wife is on COVID duty at her hospital indefinitely. Pls help us.",imamiranjan
