0,1,2
2020-04-12 23:58:59+00:00,#PMCARES PM Modi has always believed and shown in actions that public participation is the most effective way to get anything done. PM CARES fund will enable micro-donations as a result of which a large number of people will be able to contribute to India’s fight against COVID,OmPraka32926734
2020-04-12 23:58:40+00:00,COVID-19 Update Canada cruising towards 25k India approaching 10k Tough times ahead!,ImRohanSingh19
2020-04-12 23:58:39+00:00,"#PMCARES Respecting the spirit of citizens’ desire to donate during COVID-19, the Prime Minister’s Citizen Assistance and Relief in Emergency Situations Fund is constituted. The PM CARES will go a long way in creating a healthier India. via NaMo App",OmPraka32926734
2020-04-12 23:58:00+00:00,#IndiaFightsCorona | क्या कोविड-19 छूत की बीमारी है ? #COVID__19 #StayAtHome @MIB_India @PrakashJavdekar @PIB_India ,AIRNewsHindi
2020-04-12 23:57:59+00:00,#PMCARES Everyone’s role in mitigating the impact of COVID-19 and rebuilding human lives by supporting PM CARES opens a new chapter in India’s fight against COVID-19. via NaMo App,OmPraka32926734
2020-04-12 23:57:45+00:00,Kerala Police thank superstar Kamal Haasan for his message appreciating their efforts to fight coronavirus COVID-19 | India News https://newsattend.com/kerala-police-thank-superstar-kamal-haasan-for-his-message-appreciating-their-efforts-to-fight-coronavirus-covid-19-india-news/,TargetPossible
2020-04-12 23:57:38+00:00,#PMCARES The MHRD family is strongly supporting India’s fight against COVID-19. Various Institutions and Departments of Ministry of HRD contributed more than 38.91 Crore Rupees to PM CARE Fund via NaMo App,OmPraka32926734
2020-04-12 23:57:02+00:00,The supply of HCQ to 17 nations is a gesture of humanity from our country india in era of covid 19 epidemic. It's paid from the tax payers coffers and not by any party. The cartoon itself portrayed the reality of most indian being urged to make mask from cloth at home.,indianlibran
2020-04-12 23:56:55+00:00,"#PMCARES The Institute of Chartered Accountants of India, Institute of Company Secretaries of India and Institute of Cost Accountants of India have come forward to donate an amount of Rs 28.80 crore to PM-CARES Fund for providing assistance to those impacted by the COVID-19",OmPraka32926734
2020-04-12 23:56:54+00:00,Trump in India on February 25th said the virus is under control in the United States. Feb 25th: Mayor of San Francisco London Breed made emergency declaration to strengthen the City’s preparedness to respond to COVID-19. 1/16,michellred
